total_pop,know_no_ef,mother_not_ef,home_not_ef,home_other_not_ef,CT_GEO2
595,15,150,80,45,1
620,0,70,20,15,2
749,10,195,70,85,3
6686,305,2615,1615,680,4
6424,220,2125,1115,655,5
0,NA,NA,NA,NA,6
3237,90,1165,640,355,7.01
4753,180,1920,1100,540,7.02
7503,45,1790,495,940,8.01
9942,130,3220,1170,1495,8.02
567,5,80,35,45,9
5428,85,1320,425,580,10.01
7740,185,1965,720,815,10.02
17549,165,5035,1565,2525,11
11658,235,4505,1965,1820,12.01
8865,195,3425,1430,1410,12.03
4899,70,1625,595,705,12.04
6290,65,2045,635,1e3,13.01
8126,155,3275,1340,1420,13.02
1242,15,465,165,175,14
3663,10,965,280,445,15
10101,70,2565,805,1190,16
7906,65,2120,745,920,17
2456,45,450,140,215,18
3258,190,845,475,275,19
2390,10,410,100,170,20
5199,10,595,130,275,21
3883,0,345,75,165,22
3208,5,325,75,140,23
6887,20,785,200,305,24
3456,35,575,200,240,25
6486,295,1750,920,580,26
4390,415,1420,895,430,27
1387,25,270,90,115,28.01
6198,455,1585,905,515,28.02
6987,755,2625,1805,710,29
4529,165,1765,985,545,30
6274,475,3500,2350,805,31
5363,145,1365,670,475,32
5042,170,1810,1020,640,33
4554,85,1955,875,725,34.01
5147,80,1585,685,635,34.02
9876,355,5625,3195,1880,35
5487,495,2430,1325,715,36
4494,310,2080,1235,620,37
3772,665,1730,1255,355,38
4192,890,2325,1725,460,39
4568,800,2125,1530,485,40
3453,445,1485,945,425,41
4570,375,1625,960,515,42
3965,355,1320,780,375,43
8825,460,2615,1195,935,44
3453,320,1350,810,445,45
3281,390,1350,835,360,46
3791,290,1450,985,330,47.02
703,20,165,60,75,47.03
2846,80,670,315,210,47.04
3557,135,865,400,315,48
3663,30,625,200,230,49
8746,115,3120,1285,1170,50.01
1109,10,365,120,145,50.03
5008,65,1395,555,530,50.04
5399,45,1210,390,470,51
4077,115,940,405,350,52
5982,500,2440,1460,760,53
5803,310,2110,1150,680,54
2763,100,735,330,290,55
4772,300,1540,830,530,56
2311,80,625,300,270,57
3980,220,1155,600,400,58
3837,130,960,440,365,59
2685,50,880,385,330,60
1085,45,520,270,120,61
5595,120,2755,1550,900,62.01
9084,210,4880,2775,1560,62.02
5104,65,2010,905,795,63.03
3370,50,995,420,370,63.04
4331,60,1815,835,720,63.05
5171,55,1675,635,640,63.06
4311,45,1380,500,600,64
2483,35,1120,585,400,65.01
11821,435,6950,4155,1520,65.02
7608,170,2065,885,725,66
1694,5,215,55,95,67
2367,90,420,185,185,68
4923,330,1370,740,460,69
3512,35,560,175,260,70
3481,45,590,225,250,71
4586,310,1510,930,410,72.01
3141,140,790,440,255,72.02
2605,320,960,665,190,73
3848,265,1215,700,420,74
4083,215,1180,630,395,75
4415,170,1010,495,340,76
4670,90,770,335,285,77
6016,55,925,335,355,78
7327,95,980,365,395,79
3352,65,660,270,230,80.01
4686,195,2080,1310,510,80.02
2848,140,785,405,270,81
2766,105,705,390,205,82
4052,195,1355,720,435,83
3810,70,820,345,270,84
3994,70,830,315,330,85
2661,5,325,80,175,86
5155,10,845,240,345,87
3249,40,1240,510,430,88
3896,40,1285,460,475,89
4144,60,965,380,375,90
6031,25,1575,545,640,91.01
3525,30,885,360,375,91.02
7278,75,1675,590,685,92
5652,190,1370,610,495,93
4950,395,1845,1040,585,94
3095,220,1115,630,385,95
1658,135,705,395,215,96.01
3336,240,1295,740,375,96.02
4322,310,1990,1245,545,97.01
1207,105,570,300,185,97.03
5462,540,2490,1560,765,97.04
7099,465,2800,1550,925,98
6585,165,2380,1215,745,99
2956,70,740,330,300,100
3128,35,650,250,255,101
4313,95,1640,785,545,102.02
3682,70,1655,895,490,102.03
671,5,145,45,60,102.04
861,10,165,75,65,102.05
6050,45,1535,515,580,103
5525,35,1180,345,490,104
4509,80,1e3,425,405,105
3773,200,1980,1105,605,106
5085,440,2550,1515,845,107
6013,530,2750,1685,800,108
5496,475,2420,1425,750,109
3577,295,1750,1040,515,110
2507,260,1305,795,390,111
5295,545,2925,1785,825,112
2754,70,875,370,325,113
5349,260,1595,815,545,114
4372,315,1605,980,505,115
4628,75,1050,445,385,116
2211,15,390,95,190,117
4127,20,755,235,325,118
4630,35,1035,380,400,119
1381,5,190,45,70,120
2659,15,460,160,210,121
