ID,Branch Name,Tier,Total ENG,Total FRE,Total MLC,All Languages,percent_MLC
GHP,Goldhawk Park,NL,168371,2045,56436,226852,24.9
WS,Woodside Square,NL,256097,3825,80568,340490,23.7
ST,Steeles,NL,184944,1186,52490,238620,22
AG,Agincourt,DL,486705,9395,125126,621226,20.1
BRW,Bridlewood,NL,308514,5310,71677,385501,18.6
RD,Riverdale,NL,192642,3105,43031,238778,18
BUR,Burrows Hall,NL,117160,1131,23140,141431,16.4
HS,Humber Summit,NL,30944,90,5086,36120,14.1
SA,Sanderson,NL,164581,2348,26493,193422,13.7
FV,Fairview,DL,615587,18379,94460,728426,13
JS,Jane Sheppard,NL,73394,669,10963,85026,12.9
LHS,Lillian H. Smith,DL,308456,3727,40364,352547,11.4
MAL,Malvern,DL,294011,3695,36363,334069,10.9
BC,Black Creek,NL,86122,794,10452,97368,10.7
WP,Woodview Park,NL,60669,154,7115,67938,10.5
CED,Cedarbrae,DL,380097,6392,44341,430830,10.3
AB,Albion,DL,276005,3058,30568,309631,9.9
AP,Amesbury Park,NL,49917,226,5055,55198,9.2
DO,Downsview,NL,180417,2507,18590,201514,9.2
ACD,Albert Campbell,DL,302881,4471,30714,338066,9.1
HIL,Hillcrest,NL,277835,3982,27601,309418,8.9
YW,York Woods,DL,180112,3484,16169,199765,8.1
ES,Eglinton Square,NL,112616,1477,9693,123786,7.8
JO,Jones,NL,153510,1267,12959,167736,7.7
PL,Parliament Street,NL,184198,3923,15584,203705,7.7
MRV,Maryvale,NL,172348,2201,13192,187741,7
PV,Pleasant View,NL,173424,3816,13213,190453,6.9
FP,Flemingdon Park,NL,105179,1816,7749,114744,6.8
DU,Dufferin St. Clair,NL,137151,2158,9847,149156,6.6
KE,Kennedy Eglinton,NL,143364,1420,10289,155073,6.6
MCG,McGregor Park,NL,163226,2196,11443,176865,6.5
SC,Scarborough Civic Centre,NL,166217,1427,11670,179314,6.5
SJ,St. James Town,NL,206221,3060,13970,223251,6.3
CH,City Hall,NL,278971,2027,18466,299464,6.2
BY,Bayview,NL,421352,5919,27839,455110,6.1
BD,Bendale,NL,116079,523,6990,123592,5.7
GE,Gerrard Ashdale,NL,165089,2277,10205,177571,5.7
CE,Centennial,NL,285260,4839,17012,307111,5.5
DR,Dawes Road,NL,174374,2753,9846,186973,5.3
HW,Humberwood,NL,59227,400,3362,62989,5.3
DM,Don Mills,DL,525411,11102,29190,565703,5.2
TRL,Toronto Reference Library,RR,377544,6282,21111,404937,5.2
MAS,Maria A. Shchuka,DL,198215,2217,10756,211188,5.1
TH,Thorncliffe,NL,157869,1703,8603,168175,5.1
HC,Highland Creek,NL,147988,540,7207,155735,4.6
LB,Long Branch,NL,121882,691,5965,128538,4.6
NYCL,North York Central Library,RR,563256,7760,26880,597896,4.5
RI,Richview,DL,507965,7903,23619,539487,4.4
BL,Bloor Gladstone,DL,363753,8051,16561,388365,4.3
EG,Evelyn Gregory,NL,64374,157,2805,67336,4.2
MD,Mount Dennis,NL,102923,1119,4567,108609,4.2
RN,Runnymede,NL,263323,7095,10630,281048,3.8
BF,Barbara Frum,DL,502838,5269,19406,527513,3.7
BB,Brookbanks,NL,151767,3682,5942,161391,3.7
HP,High Park,NL,299530,6495,11553,317578,3.6
CS,College Shaw,NL,180407,2377,6631,189415,3.5
EB,Elmbrook Park,NL,122584,1143,4310,128037,3.4
PM,Palmerston,NL,183931,3626,6595,194152,3.4
RX,Rexdale,NL,75908,625,2577,79110,3.3
VV,Victoria Village,NL,94676,1468,3282,99426,3.3
PK,Parkdale,NL,341846,4277,11578,357701,3.2
EA,Eatonville,NL,479116,6956,15552,501624,3.1
MS,Morningside,NL,154782,1304,5044,161130,3.1
OV,Oakwood Village Library and Arts Centre,NL,112157,1736,3684,117577,3.1
